# LAMMPS data file written by OVITO Pro 3.12.1

30 atoms
3 atom types

5.14829 0.0 0.0 avec
-2.574145 4.45855 0.0 bvec
0.0 0.0 13.8631 cvec
0.0 0.0 0.0 abc origin

Masses

1 6.941  # Li
2 92.90638  # Nb
3 15.9994  # O

Atoms  # atomic

1 1 0.0 0.0 3.1191975
2 1 0.0 0.0 10.0507475
3 1 2.5741450003 1.4861833332 7.7402308329
4 1 -2.5741453413e-10 2.9723666668 12.3612641671
5 1 2.5741450003 1.4861833332 0.8086808329
6 1 -2.5741453413e-10 2.9723666668 5.4297141671
7 2 0.0 0.0 0.0
8 2 0.0 0.0 6.93155
9 2 2.5741450003 1.4861833332 4.6210333329
10 2 -2.5741453413e-10 2.9723666668 9.2420666671
11 2 2.5741450003 1.4861833332 11.5525833329
12 2 -2.5741453413e-10 2.9723666668 2.3105166671
13 3 -0.6612978505 1.599281885 0.73058537
14 3 1.519775208 3.08620831 0.73058537
15 3 -0.8584773575 4.231609805 0.73058537
16 3 0.8584773575 4.231609805 7.66213537
17 3 0.6612978505 1.599281885 7.66213537
18 3 -1.519775208 3.08620831 7.66213537
19 3 1.9128471498 3.0854652182 5.3516187029
20 3 1.9128471492 0.1130985518 9.9726520371
21 3 1.5197752083 0.1138416432 5.3516187029
22 3 4.0939202077 1.6000249768 9.9726520371
23 3 4.2898126428 1.2592431382 5.3516187029
24 3 1.7156676422 2.7454264718 9.9726520371
25 3 0.8584773578 1.2592431382 12.2831687029
26 3 3.4326223572 2.7454264718 3.0411020371
27 3 3.2354428508 3.0854652182 12.2831687029
28 3 3.2354428502 0.1130985518 3.0411020371
29 3 3.6285147923 0.1138416432 12.2831687029
30 3 1.0543697917 1.6000249768 3.0411020371
