# Time-averaged data for fix avg_vals
# TimeStep v_zStrainc v_engsszc v_p3 v_engssyc v_p2 v_engssxc v_p1
81000 0.00024975 0.00525988 0.0052492 -0.00266405 -0.00266772 0.00535415 0.0053485
82000 0.00074975 0.0982239 0.0983171 -0.000271791 -0.000270805 -0.00343898 -0.00343631
83000 0.00124975 0.182354 0.182601 -0.00161185 -0.00161317 -0.000581065 -0.000584714
84000 0.00174975 0.284116 0.284588 0.00635719 0.00635067 0.00187665 0.00187202
85000 0.00224975 0.358422 0.35914 -0.0011649 -0.00118675 -0.00186244 -0.00187945
86000 0.00274975 0.454435 0.455461 0.00151359 0.0014825 -0.0012757 -0.00130229
87000 0.00324975 0.543468 0.54491 -0.00444703 -0.00445412 -0.00112125 -0.00113625
88000 0.00374975 0.632168 0.633981 -0.00110056 -0.00110157 -0.000633777 -0.000638398
89000 0.00424975 0.724328 0.726607 -0.00126901 -0.0012585 -0.000850075 -0.000839909
90000 0.00474975 0.811752 0.814536 0.00255711 0.00255164 -0.000109793 -0.000107306
91000 0.00524975 0.897292 0.900631 -0.00148478 -0.00148606 0.00448019 0.00445962
92000 0.00574975 0.995356 0.999362 0.000967296 0.000964231 0.00205824 0.00205075
93000 0.00624975 1.08499 1.08968 -0.000978567 -0.000983871 -0.00372755 -0.00372546
94000 0.00674975 1.16798 1.17332 -0.00311658 -0.00310213 -0.00246825 -0.00245716
95000 0.00724975 1.26411 1.27033 6.53089e-05 6.02399e-05 -0.00384707 -0.0038335
96000 0.00774975 1.34662 1.35345 -0.000122218 -0.000135566 0.000617412 0.000599379
97000 0.00824975 1.44843 1.4561 0.00572063 0.00566234 0.00479837 0.00473979
98000 0.00874975 1.53256 1.54128 0.000583497 0.00056339 -0.0020904 -0.00209425
99000 0.00924975 1.6285 1.63825 -0.000574471 -0.000584692 0.00132628 0.00130407
100000 0.00974975 1.71653 1.72728 -0.00277177 -0.00276504 -1.36108e-05 -2.38315e-05
101000 0.0102497 1.80861 1.82047 -0.00139587 -0.00139069 -0.000697132 -0.000697896
102000 0.0107497 1.89625 1.90921 -0.000393468 -0.000409372 -0.00265395 -0.00265182
103000 0.0112497 1.9875 2.00147 -0.000384265 -0.000399321 0.000848932 0.000828214
104000 0.0117497 2.07434 2.08949 0.00282528 0.00279839 -0.000805955 -0.00080557
105000 0.0122497 2.15519 2.17165 -0.00276993 -0.00274641 -0.000919898 -0.000913071
106000 0.0127497 2.25109 2.26879 0.000344642 0.000347286 -0.00252157 -0.00249128
107000 0.0132497 2.34076 2.35982 0.00798113 0.00791248 0.0030939 0.00306982
108000 0.0137497 2.42521 2.44567 -0.00401675 -0.00398351 0.0018122 0.0017929
109000 0.0142497 2.51478 2.53671 -0.000900902 -0.000912547 -0.00279261 -0.0027839
110000 0.0147497 2.61277 2.63607 -0.000650428 -0.00067417 -8.3088e-05 -0.000112132
111000 0.0152497 2.69834 2.72327 0.000374211 0.000360964 -0.0036568 -0.00362455
112000 0.0157497 2.78953 2.81616 0.00222613 0.0021987 0.00308062 0.00304477
113000 0.0162497 2.86978 2.898 -0.00538281 -0.005325 0.00335867 0.00331976
114000 0.0167497 2.96661 2.9963 0.00877326 0.00867643 -0.000982047 -0.000965621
115000 0.0172497 3.04784 3.07922 -0.00161691 -0.00158731 0.00140575 0.00140016
116000 0.0177497 3.14067 3.17387 -0.00263066 -0.00258131 -0.00100945 -0.000978754
117000 0.0182497 3.23402 3.26914 -0.00328718 -0.00325174 0.00131081 0.00128749
118000 0.0187497 3.3243 3.36122 -0.000716936 -0.000719359 0.00130266 0.00127292
119000 0.0192497 3.41696 3.4561 0.000161525 0.000146997 -0.00203251 -0.00201756
120000 0.0197497 3.50711 3.54825 0.00493589 0.00486583 -0.00278137 -0.00274866
121000 0.0202497 3.59612 3.63889 -0.0021087 -0.00209168 0.00626099 0.00616255
122000 0.0207497 3.67755 3.72284 -0.000595685 -0.000614411 -0.006428 -0.0063637
123000 0.0212497 3.76294 3.81014 -0.00834984 -0.00826303 -0.000330419 -0.000353569
124000 0.0217497 3.85644 3.90542 0.00241625 0.00236484 -0.00290902 -0.00288425
125000 0.0222497 3.95284 4.00431 0.00301425 0.00296399 -0.000330254 -0.000325871
126000 0.0227497 4.0367 4.09044 -0.00585705 -0.00576804 0.00406856 0.00399688
127000 0.0232497 4.1254 4.18115 0.00388405 0.0038252 -0.000638872 -0.000625964
128000 0.0237497 4.21227 4.27036 0.0010238 0.00100791 0.00102319 0.00100476
129000 0.0242497 4.30227 4.36268 -0.000623781 -0.000606901 0.00418045 0.00411482
130000 0.0247497 4.3926 4.45534 0.00210649 0.00207628 -0.00303045 -0.00297181
131000 0.0252497 4.48142 4.54652 1.75997e-05 1.90672e-05 0.00393184 0.00386455
132000 0.0257497 4.56772 4.63546 -0.000824076 -0.000807157 -0.00287676 -0.00282654
133000 0.0262497 4.65722 4.72754 0.00235772 0.00231193 -0.00149705 -0.00146934
134000 0.0267497 4.7464 4.81964 0.00284973 0.00278578 0.00070247 0.000679303
135000 0.0272497 4.83172 4.90703 0.00238612 0.00231657 0.00349191 0.00340172
136000 0.0277497 4.91503 4.9931 -0.00517502 -0.00507762 -0.00410481 -0.00403062
137000 0.0282497 5.00461 5.08509 0.000634615 0.000638878 -0.00198203 -0.00192399
138000 0.0287497 5.0954 5.17863 0.0018664 0.00183664 0.00487601 0.00478313
139000 0.0292497 5.17553 5.26185 -0.00424749 -0.00415478 -0.00506132 -0.00495049
140000 0.0297497 5.27174 5.36091 -0.000894009 -0.000867396 0.00265685 0.00260962
141000 0.0302497 5.36008 5.45214 0.00188703 0.00185955 -0.000547598 -0.000527675
142000 0.0307497 5.44207 5.53677 -0.00258666 -0.00253775 -0.000788413 -0.000776976
143000 0.0312497 5.52728 5.6254 0.00173956 0.00170155 -0.00418502 -0.00409464
144000 0.0317497 5.61664 5.71768 -0.00278547 -0.00270963 0.00379684 0.0037274
145000 0.0322497 5.70681 5.81121 -0.000308151 -0.000306428 -6.51447e-05 -7.19951e-05
146000 0.0327497 5.78839 5.89556 -2.83293e-05 -4.64811e-05 0.000572584 0.000539282
147000 0.0332497 5.88493 5.99563 -0.00180116 -0.00176738 -0.00235268 -0.00230959
148000 0.0337497 5.9714 6.0849 0.00223651 0.00218181 0.00197749 0.00192771
149000 0.0342497 6.06249 6.17862 0.00220466 0.00213393 0.000933775 0.000891738
150000 0.0347497 6.13868 6.25777 0.000993406 0.000963563 -0.00406184 -0.00397137
151000 0.0352497 6.23282 6.35552 -0.00254224 -0.00247961 -0.00149176 -0.00145478
152000 0.0357497 6.31684 6.44284 0.00129234 0.00125561 -0.00259629 -0.00253316
153000 0.0362497 6.4081 6.53748 -0.00349623 -0.0034203 0.000781348 0.000753387
154000 0.0367497 6.496 6.62904 0.00444387 0.00432266 -0.000311457 -0.000312346
155000 0.0372497 6.57912 6.71543 -0.00426542 -0.00416214 0.003266 0.00317031
156000 0.0377497 6.66555 6.8047 0.00690517 0.00671692 0.000485846 0.000464009
157000 0.0382497 6.75003 6.89313 -0.00556614 -0.00541878 0.00387996 0.00377347
158000 0.0387497 6.82879 6.97478 0.000426402 0.000409693 -0.000375672 -0.000367159
159000 0.0392497 6.92056 7.07021 0.000475496 0.000440661 0.00951121 0.00922596
160000 0.0397497 7.00209 7.15569 0.000704517 0.000650104 -0.00683911 -0.00668574
161000 0.0402497 7.09011 7.24734 0.000200726 0.000186812 -0.00192436 -0.00187997
162000 0.0407497 7.1715 7.33236 -0.00499069 -0.00485211 8.78715e-05 8.35941e-05
163000 0.0412497 7.25527 7.41942 0.00106436 0.00102929 -0.00299544 -0.00291578
164000 0.0417497 7.34123 7.50904 0.00091004 0.000875019 -0.00291382 -0.00284037
165000 0.0422497 7.42722 7.59941 0.00305291 0.00295745 -0.00213798 -0.00207729
166000 0.0427497 7.51509 7.69092 0.00564343 0.0054726 0.00201593 0.00195165
167000 0.0432497 7.59282 7.77207 -0.00109006 -0.00106366 -0.000979645 -0.000952198
168000 0.0437497 7.68055 7.86392 -0.00318271 -0.0030704 0.00642665 0.00624011
169000 0.0442497 7.76267 7.9494 -0.00189197 -0.00182813 -0.00119319 -0.00114685
